,date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
32,2020-10-24,NE,A,591.0,,4,,2817.0,2817.0,426.0,34,,,501765.0,3742,,,,,,,62510.0,62510.0,1225,0,,,,,,41008.0,,0,564275.0,4967,,,,,564589.0,4964,862880.0,15611
33,2020-10-24,NH,B,473.0,,3,,765.0,765.0,19.0,0,246.0,,318819.0,5640,,,,,,,10238.0,10238.0,244,0,,,,,,8819.0,,0,574187.0,13155,32801.0,,31958.0,,329057.0,5884,574187.0,13155
34,2020-10-24,NJ,B,16281.0,14492.0,8,1789.0,37262.0,37262.0,886.0,40,,171.0,4112555.0,0,,,,,72.0,,227339.0,227339.0,1909,0,,,,,,36379.0,,0,4339894.0,1909,,,,,,0,4337985.0,0
35,2020-10-24,NM,B,960.0,,7,,4169.0,4169.0,229.0,41,,,1059316.0,9543,,,,,,,40168.0,40168.0,791,0,,,,,,20655.0,,0,1099484.0,10334,,,,,,0,1099484.0,10334
36,2020-10-24,NV,A+,1743.0,,5,,,,493.0,0,,134.0,688895.0,1914,,,,,51.0,,94812.0,94812.0,1146,0,,,,,,2358.0,1196111.0,11042,783707.0,3060,,,,,783707.0,3060,1154583.0,0
37,2020-10-24,NY,B,25718.0,,13,,89995.0,89995.0,1045.0,0,,231.0,13137461.0,154879,,,,,113.0,,493832.0,493832.0,2061,0,,,,,,78960.0,13631293.0,156940,13631293.0,156940,,,,,,0,,0
38,2020-10-24,OH,A+,5206.0,4896.0,22,310.0,18006.0,18006.0,1355.0,140,3705.0,383.0,3953963.0,45518,,,,,200.0,,195806.0,184528.0,2858,0,,,,,,157744.0,,0,4149769.0,48376,,,,,,0,4138491.0,48177
39,2020-10-24,OK,A+,1245.0,,11,,8360.0,8360.0,924.0,95,,305.0,1417024.0,19328,,,1417024.0,,,6135.0,115685.0,115685.0,1829,0,4814.0,,,,127051.0,98700.0,,0,1532709.0,21157,87553.0,,,,,0,1546238.0,20677
40,2020-10-24,OR,A+,653.0,,4,,3034.0,3034.0,197.0,0,,53.0,779403.0,5550,,,779403.0,,21.0,,41739.0,39261.0,391,0,,,,,,5870.0,,0,821142.0,5941,,,,,813114.0,0,,0
41,2020-10-24,PA,A+,8654.0,,29,,,,1087.0,0,,,2215057.0,14189,,,,,126.0,,192622.0,184299.0,2043,0,,,,,,150245.0,,0,2407679.0,16232,,,,,2399356.0,16052,3795139.0,39038
42,2020-10-24,PR,B,794.0,604.0,3,190.0,,,395.0,0,,60.0,305972.0,0,,,303412.0,,43.0,,61280.0,31072.0,296,0,30208.0,,,,7002.0,26866.0,,0,367252.0,296,,,,,,0,310546.0,0
43,2020-10-24,RI,A+,1177.0,,0,,3126.0,3126.0,140.0,0,,13.0,382732.0,0,,,994022.0,,9.0,,30118.0,30118.0,0,0,,,,,40550.0,2602.0,1034572.0,0,1034572.0,0,,,,,412850.0,0,,0
44,2020-10-24,SC,A+,3793.0,3560.0,16,233.0,10212.0,10212.0,743.0,51,,200.0,1509743.0,10791,69729.0,,1459763.0,,97.0,,169341.0,161836.0,792,0,8480.0,15204.0,,,211816.0,86031.0,,0,1679084.0,11583,78209.0,97080.0,,,,0,1671579.0,11392
45,2020-10-24,SD,A,366.0,,10,,2378.0,2378.0,356.0,42,,,205539.0,1739,,,,,,,38141.0,36962.0,939,0,,,,,,27557.0,,0,243680.0,2678,,,,,243680.0,2678,397274.0,5365
46,2020-10-24,TN,A+,3100.0,2944.0,24,156.0,9926.0,9926.0,1382.0,44,,403.0,3261053.0,24071,,,3213008.0,,162.0,,244087.0,231171.0,2574,0,,12092.0,,,279216.0,216744.0,,0,3505140.0,26645,,89377.0,,,,0,3492224.0,26312
47,2020-10-24,TX,A,17456.0,,81,,,,4995.0,0,,1513.0,6852124.0,92110,,,,,,,858071.0,858071.0,6499,0,44466.0,23437.0,,,,753611.0,,0,7710195.0,98609,465309.0,272102.0,,,,0,7710195.0,98609
48,2020-10-24,UT,A+,568.0,,1,,4997.0,4997.0,319.0,58,1062.0,110.0,919692.0,8461,,,,417.0,,,103117.0,103117.0,1608,0,,4248.0,,4055.0,,75776.0,,0,1022809.0,10069,,72847.0,,33663.0,1022809.0,10069,1380789.0,16316
49,2020-10-24,VA,A+,3578.0,3328.0,39,250.0,20434.0,20434.0,979.0,16,,220.0,2328174.0,16117,,,,,117.0,283.0,172372.0,160843.0,1088,0,,,,,191459.0,19455.0,2489017.0,16956,2489017.0,16956,,,,,,0,,0
